epoch;num_critics: 10 - eval/reward_mean;num_critics: 50 - eval/reward_mean;num_critics: 20 - eval/reward_mean;num_critics: 2 - eval/reward_mean;num_critics: 5 - eval/reward_mean;SAC-20;SAC-10
47;-718.830851332948;-279.8664380867879;-944.2683848587524;-707.2269129158809;-553.36304756592;-477.82504968171736;-754.0990646816333
48;-692.4182562277874;-255.80492350062315;-785.4061217661167;-743.2047793193215;-464.3450165502343;-472.4098506340065;-767.725479158022
49;-607.5348207672382;-221.85130569630368;-763.0145674411621;-782.6171369887986;-540.0178881172667;-544.9936785261564;-816.4996544331733
50;-566.6658291661249;-260.20169361092957;-732.9935744410642;-686.0207414867425;-502.33356493453726;-539.5460903602091;-729.4455210750109
51;-600.7128196353885;-415.89302905008446;-696.523003494636;-724.4944526822378;-653.9445807804475;-376.62675517020836;-645.6346800432848
52;-598.2741360004634;-460.55458977128444;-580.054003658553;-691.5210386216634;-604.1786608180977;-527.7133428425293;-552.1455988074164
53;-584.660242459612;-335.0505982574876;-553.8136234832892;-775.5794224346221;-432.9396238390744;-478.98500259579185;-559.5319797626432
54;-568.5274872324637;-386.3103276401464;-545.8763357809482;-706.065840448952;-462.2354683823513;-541.3209165052805;-588.8848869285183
55;-593.3195387380138;-399.15209475710003;-584.1810493286496;-800.3493934648725;-336.31855705239013;-520.4462949232977;-574.8391799797799
56;-581.184667526692;-415.4725019869675;-583.6157176957742;-731.5068368305542;-402.5361885263429;-492.24986355896897;-602.2654450447714
57;-583.3808256685504;-408.07979191159075;-504.8760355308226;-845.4239191272516;-90.53149069210349;-547.5697731962262;-534.2624611291587
58;-592.0975495593563;-371.7276175428293;-595.3355463240785;-760.7308523815285;-285.7898069851788;-508.91055439469784;-587.0511396582169
59;-583.133391594819;-261.3404479000003;-579.7763219988462;-806.94302045863;-204.36836443668284;-498.5065683829627;-576.100461760376
60;-575.0399266950282;-365.2660825119019;-574.8579332470912;-612.3620827257388;-251.9120589730075;-384.5609978892624;-591.850506530267
61;-527.6570077301172;-495.5743465266561;-531.3638586217824;-884.7463805367054;-373.05890981473544;-468.8320789000193;-514.6508076870211
62;-572.8985226785519;-518.6528334111285;-585.8844562795588;-816.7148096960793;-313.0780397570575;-533.2487733934857;-588.5523834880701
63;-585.7964676721115;-485.7174513922034;-519.1393745315924;-886.0837679762737;-382.67758556281296;-500.21767819933285;-550.4557196238353
64;-558.7199812750896;-508.61100169103713;-556.5864962987271;-779.081646741035;-306.7716681964809;-561.0030803766537;-588.1182991275866
65;-543.0741783336355;-498.90940502801095;-523.4483870433256;-788.7010294979339;-323.39463675238346;-573.042709686456;-566.6278330952473
66;-492.53131576084166;-565.7774284618466;-523.8407731592624;-873.6123452050684;-390.45380278927547;-512.0561197670345;-526.6761644184977
67;-519.3258056569457;-400.2679082004526;-520.1195577857441;-1010.9442021211102;-14.105420342913419;-574.8410612706529;-448.3521274097769
68;-558.1903197912029;-396.1418536506801;-502.1148145729274;-730.6987389587066;-334.2159847490161;-496.17661156288557;-417.18679667712365
69;-554.294291389273;-458.17643130689555;-468.3181159419153;-907.5162388976645;-254.52380084755484;-515.0060938062841;-394.3364780117025
70;-560.368644839381;-547.8283738349012;-403.6214366631897;-754.0760373635555;-173.94675277402294;-470.2943168919072;-490.1447104971124
71;-549.8432407873172;-119.24209089910819;-506.82842854047465;-833.566763154635;-141.1433776362381;-574.4806506564123;-367.94810018699866
