epoch,critic_reduction: mean-8 - eval/reward_mean,critic_reduction: mean-4 - eval/reward_mean,critic_reduction: mean-2 - eval/reward_mean,critic_reduction: mean-1 - eval/reward_mean,critic_reduction: mean-0.5 - eval/reward_mean,critic_reduction: mean - eval/reward_mean,critic_reduction: edac-halfcheetah-full-replay-230318-212450 - eval/reward_mean
60,-611.0987763,42.76554169,-556.1925382,-652.9073035,-568.9429391,-561.2651558,-546.5896596
61,-612.3317685,-151.7956534,-552.2205825,-667.5631633,-543.2997335,-473.5348024,-594.3221662
62,-596.0100512,-30.66246799,-553.6100604,-711.2768797,-599.4990649,-613.0960426,-595.4936115
63,-598.2260966,-173.0465412,-554.4900282,-710.3827624,-573.6199564,-527.7460315,-592.3086299
64,-599.780065,-37.86720452,-557.6191815,-801.3037844,-592.7385614,-604.0057975,-575.6761319
65,-606.965807,-135.0941694,-559.3717704,-605.2559584,-592.1743264,-607.1031686,-511.6951041
66,-623.8591192,-226.0377884,-560.7703233,-701.2456116,-589.2654222,-600.6361185,-554.8698172
67,-608.8506429,540.6255293,-564.3846548,-786.8764362,-590.6267565,-601.1218987,-568.83637
68,-602.6103203,-97.70964,-578.3208665,-766.3727437,-585.465442,-604.288501,-570.7223295
69,-602.2489209,51.54216716,-564.6910317,-658.7388444,-552.6756791,-607.3516849,-560.5897689
70,-599.1774549,209.4979964,-593.6402927,-737.7305039,-572.1623127,-602.2445073,-557.391502
71,-588.8717962,298.1033361,-585.8313897,-660.9067273,-591.1794695,-599.9427226,-580.3900914
72,-446.5072756,609.0888531,-601.2041652,-617.3879378,-572.9242369,-601.4209752,-592.8504489
73,-622.1472204,184.0025239,-600.5200917,-708.9079512,-576.7410826,-597.3137799,-575.330805
74,-458.4872114,712.2341015,-600.5070676,-539.266059,-587.577643,-606.0597888,-543.6802364
75,-647.8296907,862.1362638,-604.3531354,-473.4615152,-571.2241917,-585.8253867,-595.3055679
76,-615.0045859,1035.092979,-600.1889182,-522.7386718,-597.4923427,-590.2844806,-566.5066465
77,-528.6947178,908.5232452,-601.0608252,-746.899398,-563.678722,-599.4552571,-590.8834621
78,-658.0299462,332.8411593,-601.0851604,-585.8735045,-721.063163,-662.3584061,-594.4470819
79,-339.2687875,3707.484977,-607.0044454,-641.0283596,-1004.614803,-535.5608534,-601.3704829
80,-803.9723296,2337.031743,-600.7112323,-652.513955,-1099.63773,-595.3139322,-583.3920755
81,-668.4188,4511.762749,-603.8223793,-672.0938603,-1203.682358,-750.9048817,-603.5644579
82,-613.7157924,3688.210857,-600.0284146,-702.5645133,-1374.165845,-755.9188924,-578.4151672
83,-516.7102682,4529.595457,-597.9577035,-669.5944566,-1261.295735,-882.6000773,-589.267767
84,-240.3986314,4573.285569,-598.7553736,-607.7637038,-1038.716207,-850.7368217,-600.1411778
85,-300.3919753,4467.228633,-597.9784047,-510.6365834,-1143.054642,-852.8746089,-568.3809714
86,-410.0402928,4438.803503,-593.8775084,-337.9538366,-1262.285563,-917.4833366,-565.8613175
87,-180.3213408,3939.884284,-597.2371366,-404.1002499,-922.1617126,-875.0135767,-525.0141782
88,-297.4805668,3942.704631,-598.4441943,-99.83506737,-555.2621816,-909.9254237,-589.0157278
89,40.10699015,4180.286431,-599.2965867,-187.4045124,-669.3261073,-920.1449494,-596.6294822
90,-176.9753945,3941.428459,-600.7970801,-40.63928141,-714.9955743,-921.1304113,-587.4862671
91,-118.5026225,4081.997162,-597.5825833,127.2100537,-680.6083025,-934.6817895,-568.506698
92,-220.8857389,3757.322598,-597.6372746,-19.39320461,-713.0369166,-718.5349899,-569.6712993
93,-144.4173547,3359.887118,-597.0942927,-259.9516091,-728.4802915,-553.6779494,-555.1665395
94,153.8667364,3561.643957,-598.0103188,213.2385238,-721.3865279,-690.7475183,-568.2867469
95,20.60288757,3668.548681,-598.9307218,221.8726508,-799.4591798,-504.8068206,-549.0432171
96,181.7514486,3514.796863,-596.9573364,140.265131,-819.4966867,-512.7925503,-565.3037336
97,6.575000234,3393.4921,-597.1221202,151.7790776,-936.4233546,-553.2251027,-572.1598962
98,279.0322627,3209.90806,-596.3632427,295.0338015,-759.882159,-490.675734,-576.1734007
99,87.6765907,3081.398982,-597.2883535,288.6999666,-890.357252,-1216.028519,-554.9033475
100,191.7282774,3099.291305,-597.6126931,439.8125946,-761.7751021,-1686.507167,-561.5972325
101,-108.0405716,3204.169693,-598.1415573,348.0647854,-944.77106,-1363.110877,-550.3464048
102,98.54402782,3143.18191,-597.6453337,608.9123681,-810.1577053,-1452.609078,-535.3977576
103,-90.56537367,2937.184316,-597.9406575,183.7393537,-970.0666007,-1776.842675,-566.890107
104,-263.5884867,2881.38205,-598.2529825,530.2695041,-920.7742795,-1723.199683,-570.0634219
105,-546.6827597,2942.119393,-597.3302228,497.2495553,-911.2467233,-1677.918624,-585.9767566
106,-560.0590077,2934.516838,-597.1805038,794.3692437,-916.2166846,-1677.491009,-556.1562539
107,-600.0264732,2969.468096,-598.2412152,354.7719778,-861.3333838,-1278.478833,-571.5118485
108,-600.9782122,2699.028806,-597.0345005,528.2444655,-921.5217149,-1222.832262,-393.1680105
109,-600.287167,2330.555645,-598.1479481,720.9095829,-751.1940523,-1628.519314,-564.5104285
110,-601.7760928,2184.422436,-595.1691795,959.077984,-838.5402412,-1341.382388,-583.4119272
111,-602.300765,2142.452165,-594.7307996,1110.076762,-879.2563414,-1535.919195,-573.3290015
112,-603.5369816,2343.931729,-592.5257643,743.0169081,-835.0024941,-1641.784216,-520.7175283
113,-602.9678614,2326.554057,-597.1170698,724.9856761,-809.1834562,-1588.664057,-597.954382
114,-602.5584364,1524.602072,-595.2241481,987.6906535,-781.6058049,-1764.807389,-555.1765545
115,-604.1648334,2715.850715,-522.9037462,742.8855251,-750.5123523,-1691.631927,-466.5632526
116,-603.5499762,2528.735501,-593.3545642,899.7268212,-776.3266101,-1761.775989,-486.5506125
117,-603.1086237,2707.996558,-591.4762997,1059.067028,-720.8959979,-1560.18558,-458.7120571
118,-603.5684019,1958.559046,-595.5823865,844.4651767,-603.7581514,-1503.214398,-583.1778999
119,-603.6378432,2621.671421,-593.4998778,1088.410898,-370.306849,-1702.11184,-527.4575321
120,-603.4552617,2665.506742,-593.9077901,1363.523914,-455.7657708,-1517.6305,-585.2553849
121,-602.5489823,2714.857231,-595.1813384,1622.803189,-644.8650315,-1478.954359,-541.5272758
122,-602.4261217,2586.555434,-595.6176834,1399.809235,-556.1041649,-1539.389798,-599.2806944
123,-603.9579288,2437.657761,-598.5243315,1040.740195,-587.7674062,-1583.04099,-478.989065
124,-603.165948,1959.058019,-593.7491041,1692.215201,-520.1349767,-1614.831043,-596.3421928
125,-602.6400985,2408.237084,-592.6912428,1986.267497,-474.7630946,-1535.726464,-484.6269664
126,-604.3986587,2432.181503,-592.4851714,1876.144034,-576.7336245,-1607.289138,-564.1294123
127,-602.9264609,2551.885068,-589.430321,1287.838529,-385.5196316,-1620.676737,-585.6382865
128,-602.8241452,2491.028852,-591.9727445,742.119784,-304.8441346,-1439.784706,-528.3869964
129,-602.8167782,2315.84724,-541.7589567,1412.490265,-472.3434513,-1652.399758,-584.0800209
130,-602.1057913,1609.423498,-516.3105597,1545.195229,-369.8263144,-1355.375696,-585.362417
131,-602.8269883,2371.060839,-487.783867,1387.297578,-332.7845229,-1351.877308,-502.878348
132,-604.054423,2194.086016,-577.9987643,1233.096921,-500.8483209,-1070.405727,-482.3510296
133,-602.9497714,2084.764035,-537.312225,1791.570318,-358.6813259,-959.9489325,-577.2418508
134,-603.2926284,2297.058464,-431.3744735,1750.089993,-422.3409678,-1095.18872,-372.6298457
135,-603.6813583,2119.582945,-321.7671598,2747.522551,-427.810337,-850.5028127,-229.4443748
136,-602.4429513,2210.5653,-295.1904949,1655.220975,-224.8735755,-863.0261131,-467.8452723
137,-603.6296419,2526.504423,-580.1008022,1823.195507,-371.7712149,-800.36353,-422.4474954
138,-602.6431038,2116.983012,-518.8834566,2228.364417,-346.4039418,-394.4652859,-493.2105652
139,-603.0691357,2254.270052,-433.909394,1425.248818,-417.5497747,-566.264487,-404.8499234
140,-603.2479239,2224.180119,-371.2844203,2665.815317,-446.638075,-446.0877967,-398.975126
141,-603.2868143,2451.611746,-540.9247317,2395.884711,-522.8616515,-721.009684,-513.7739418
142,-603.812846,2211.133804,-353.9008874,2025.305759,-359.022032,-631.483912,-505.0091877
143,-603.4204138,2173.798602,-445.5140531,1764.707164,-447.6542402,-596.4808443,-222.164172
144,-603.5953019,2265.635348,-439.7636012,2284.963849,-120.0414624,-557.1931334,-142.7931868
145,-603.3532224,2387.228674,-510.5452583,2945.992647,-242.722494,-586.445421,-361.4222694
146,-603.3085839,2204.767589,-455.5622598,3205.855245,-270.7687647,-592.9106963,-607.5112541
147,-602.4804298,2315.677261,-570.8993059,2238.856856,63.50386481,-594.2792802,-488.7308862
148,-603.8174231,2446.393042,-761.683106,1831.828341,-332.7931431,-592.7131001,-585.1043422
149,-602.8211957,1843.146455,-726.8416975,3246.308484,-273.8779705,-601.7352173,128.327498
150,-602.3594432,2180.524787,-620.2318998,3376.977164,-410.1329259,-587.3005727,924.3086918
151,-602.5949334,1870.961674,-619.5203061,1970.169617,-202.0054632,-583.1095901,2360.739435
152,-603.4051695,2266.150918,-591.212184,1953.90987,111.7919606,-598.8314833,1361.525239
153,-602.5613665,2140.356456,-644.6451199,3635.84271,57.28160191,-595.0543026,1680.760201
154,-602.4016055,2382.245352,-494.4946522,2802.499182,152.2222424,-594.1582618,1302.708315
155,-602.8073345,1872.690692,-438.0682773,1825.608498,14.514899,-596.7909006,2169.984609
156,-603.6529555,2287.503752,-345.8466266,2600.860916,-10.7427257,-599.4584857,3349.296291
157,-602.706652,2368.682331,-495.3269423,2548.577916,30.28708626,-590.2336896,4059.154521
158,-603.159936,2285.412036,-422.8874914,3140.550682,238.0434532,-597.9173419,4097.062337
