epoch;env: halfcheetah-full-replay - eval/reward_mean;env: halfcheetah-expert - eval/reward_mean;env: halfcheetah-medium-v2 - eval/reward_mean
92;-585.2203452423073;-543.2512143730593;-642.7187351218519
93;-551.8683764751563;-565.3031769894069;-607.7606666385941
94;-565.6406936069625;-531.0352916017955;-795.8783834295461
95;-572.0115973459558;-546.3423980130345;-852.4231583737395
96;-568.8698074750532;-555.7144237508965;-730.4043979860414
97;-526.3012624604501;-560.3227556982625;-662.1292451647923
98;-571.3499243348782;-514.4664269581124;-617.5656879826095
99;-561.7120294988906;-643.4752063462618;-545.1262076255399
100;-566.5848964660402;-694.3352499922498;-662.1760104353714
101;-550.4891055469313;-638.3427941489249;-558.124481587584
102;-551.8874918128718;-583.9623792994936;-677.0356285408755
103;-574.9973494225853;-608.4688661371981;-685.6663359630281
104;-556.1889901907288;-530.9020381651906;-680.7355136809566
105;-537.2820469434994;-449.71317045579093;-605.3076508722068
106;-569.0136948890224;-484.3657854453261;-472.29873397228937
107;-545.2027248097274;-510.3768145325822;-605.464441812622
108;-465.83965896845336;-592.6017072724178;-674.2117364519332
109;-553.1305908173858;-606.2145806196866;-791.942544900167
110;-566.9233080642407;-512.6607625369409;-750.3431357166321
111;-545.2757689441461;-590.2678812634756;-709.4422154989472
112;-529.6795360629369;-599.7070502107495;-679.3539192482558
113;-564.2483645672447;-585.8028138657216;-644.1520804553462
114;-526.9182756911478;-561.262222817523;-822.3367909073406
115;-465.3830033423653;-576.9428994319271;-848.2940977363371
116;-497.41581072147375;-581.8605542658747;-1020.3605226853812
117;-498.06415236291343;-606.6190689242447;-805.4111355015987
118;-550.1861389895585;-561.1772426283181;-953.6823681374148
119;-541.9269287105012;-551.9030310802648;-835.6547879341317
120;-536.3507435404921;-544.8745181731199;-987.8265185998873
121;-523.8911164147819;-590.7531752457064;-888.2331825171661
122;-565.3665323117993;-532.224559547357;-816.5055666916376
123;-490.9204857477921;-633.7383256989223;-876.2109225925112
124;-548.6521627981799;-522.1758465849921;-754.5044590483056
125;-496.27958257518367;-632.3953596040235;-714.1463452198334
126;-553.263439264894;-503.6930388858898;-593.1388154993285
127;-555.8211423675382;-549.1325392338031;-896.0348290819354
128;-506.7221275781729;-573.9330636836294;-630.559725114084
129;-547.0254354766055;-564.9093843541234;-595.5638311009461
130;-535.0216712960034;-528.2328455633922;-698.7270222685443
131;-481.8496868171096;-529.9301595506247;-599.386323075644
132;-485.6762409120106;-540.4681389306043;-638.9966665796343
133;-515.4874565569107;-533.4919286977;-651.0288796238258
134;-434.630160989287;-549.6196580982095;-734.6414566505068
135;-383.8260505742355;-540.2472430435255;-675.6549155045292
136;-370.4635969024732;-520.7345188345944;-644.6665714586018
137;-442.28774953078255;-559.608945006328;-651.0683517083257
138;-459.0514189813729;-594.8677584057533;-605.059409321142
139;-219.2804088922427;-597.1347918930746;-590.6702948326224
140;-384.39017898984685;-514.1107309379482;-499.64504387847364
141;-412.8945713493109;-592.4769971845944;-630.2080845657649
142;-461.3013191181207;-553.276039669448;-472.52009970505316
143;-320.0337806151419;-529.2785758609652;-519.4661804908108
144;-185.30312174659667;-544.0346073752225;-301.0649426833063
