"epoch","num_critics: 20 - _step","num_critics: 20 - _step__MIN","num_critics: 20 - _step__MAX","num_critics: 20 - eval/reward_mean","num_critics: 20 - eval/reward_mean__MIN","num_critics: 20 - eval/reward_mean__MAX","num_critics: 10 - _step","num_critics: 10 - _step__MIN","num_critics: 10 - _step__MAX","num_critics: 10 - eval/reward_mean","num_critics: 10 - eval/reward_mean__MIN","num_critics: 10 - eval/reward_mean__MAX"
"24","24","24","24","-752.1378947931596","-752.1378947931596","-752.1378947931596","24","24","24","-586.4929103969018","-586.4929103969018","-586.4929103969018"
"25","25","25","25","-701.2899972440732","-701.2899972440732","-701.2899972440732","25","25","25","-672.34380553238","-672.34380553238","-672.34380553238"
"26","26","26","26","-664.2543323581178","-664.2543323581178","-664.2543323581178","26","26","26","-616.6899591265303","-616.6899591265303","-616.6899591265303"
"27","27","27","27","-678.3828330187223","-678.3828330187223","-678.3828330187223","27","27","27","-627.568123299465","-627.568123299465","-627.568123299465"
"28","28","28","28","-570.6084956694715","-570.6084956694715","-570.6084956694715","28","28","28","-697.4800258117482","-697.4800258117482","-697.4800258117482"
"29","29","29","29","-631.0494826755339","-631.0494826755339","-631.0494826755339","29","29","29","-696.41141530227","-696.41141530227","-696.41141530227"
"30","30","30","30","-587.7528572815474","-587.7528572815474","-587.7528572815474","30","30","30","-716.4267813380764","-716.4267813380764","-716.4267813380764"
"31","31","31","31","-565.3390910709908","-565.3390910709908","-565.3390910709908","31","31","31","-715.0620112883331","-715.0620112883331","-715.0620112883331"
"32","32","32","32","-612.6199136209498","-612.6199136209498","-612.6199136209498","32","32","32","-766.2889550534716","-766.2889550534716","-766.2889550534716"
"33","33","33","33","-616.3278666281865","-616.3278666281865","-616.3278666281865","33","33","33","-763.3416940961012","-763.3416940961012","-763.3416940961012"
"34","34","34","34","-722.670160823571","-722.670160823571","-722.670160823571","34","34","34","-600.5442706824931","-600.5442706824931","-600.5442706824931"
"35","35","35","35","-602.5513014716671","-602.5513014716671","-602.5513014716671","35","35","35","-743.1880898712541","-743.1880898712541","-743.1880898712541"
"36","36","36","36","-510.77641564748546","-510.77641564748546","-510.77641564748546","36","36","36","-749.5814448787394","-749.5814448787394","-749.5814448787394"
"37","37","37","37","-607.7143841701527","-607.7143841701527","-607.7143841701527","37","37","37","-684.6237595451472","-684.6237595451472","-684.6237595451472"
"38","38","38","38","-484.634980780175","-484.634980780175","-484.634980780175","38","38","38","-638.2968175178299","-638.2968175178299","-638.2968175178299"
"39","39","39","39","-618.8038490879015","-618.8038490879015","-618.8038490879015","39","39","39","-671.8278659585214","-671.8278659585214","-671.8278659585214"
"40","40","40","40","-816.5359398523393","-816.5359398523393","-816.5359398523393","40","40","40","-570.2551642648244","-570.2551642648244","-570.2551642648244"
"41","41","41","41","-620.8524047011038","-620.8524047011038","-620.8524047011038","41","41","41","-421.7675331984042","-421.7675331984042","-421.7675331984042"
"42","42","42","42","-706.4973677606438","-706.4973677606438","-706.4973677606438","42","42","42","-557.5016860915762","-557.5016860915762","-557.5016860915762"
"43","43","43","43","-686.4848716864052","-686.4848716864052","-686.4848716864052","43","43","43","-578.1393426811363","-578.1393426811363","-578.1393426811363"
"44","44","44","44","-642.7072395743437","-642.7072395743437","-642.7072395743437","44","44","44","-622.0017386477517","-622.0017386477517","-622.0017386477517"
"45","45","45","45","-499.3434320427779","-499.3434320427779","-499.3434320427779","45","45","45","-564.1200306098386","-564.1200306098386","-564.1200306098386"
"46","46","46","46","-543.5012309060568","-543.5012309060568","-543.5012309060568","46","46","46","-530.0709926801985","-530.0709926801985","-530.0709926801985"
"47","47","47","47","-477.82504968171736","-477.82504968171736","-477.82504968171736","47","47","47","-754.0990646816333","-754.0990646816333","-754.0990646816333"
"48","48","48","48","-472.4098506340065","-472.4098506340065","-472.4098506340065","48","48","48","-767.725479158022","-767.725479158022","-767.725479158022"
"49","49","49","49","-544.9936785261564","-544.9936785261564","-544.9936785261564","49","49","49","-816.4996544331733","-816.4996544331733","-816.4996544331733"
"50","50","50","50","-539.5460903602091","-539.5460903602091","-539.5460903602091","50","50","50","-729.4455210750109","-729.4455210750109","-729.4455210750109"
"51","51","51","51","-376.62675517020836","-376.62675517020836","-376.62675517020836","51","51","51","-645.6346800432848","-645.6346800432848","-645.6346800432848"
"52","52","52","52","-527.7133428425293","-527.7133428425293","-527.7133428425293","52","52","52","-552.1455988074164","-552.1455988074164","-552.1455988074164"
"53","53","53","53","-478.98500259579185","-478.98500259579185","-478.98500259579185","53","53","53","-559.5319797626432","-559.5319797626432","-559.5319797626432"
"54","54","54","54","-541.3209165052805","-541.3209165052805","-541.3209165052805","54","54","54","-588.8848869285183","-588.8848869285183","-588.8848869285183"
"55","55","55","55","-520.4462949232977","-520.4462949232977","-520.4462949232977","55","55","55","-574.8391799797799","-574.8391799797799","-574.8391799797799"
"56","56","56","56","-492.24986355896897","-492.24986355896897","-492.24986355896897","56","56","56","-602.2654450447714","-602.2654450447714","-602.2654450447714"
"57","57","57","57","-547.5697731962262","-547.5697731962262","-547.5697731962262","57","57","57","-534.2624611291587","-534.2624611291587","-534.2624611291587"
"58","58","58","58","-508.91055439469784","-508.91055439469784","-508.91055439469784","58","58","58","-587.0511396582169","-587.0511396582169","-587.0511396582169"
"59","59","59","59","-498.5065683829627","-498.5065683829627","-498.5065683829627","59","59","59","-576.100461760376","-576.100461760376","-576.100461760376"
"60","60","60","60","-384.5609978892624","-384.5609978892624","-384.5609978892624","60","60","60","-591.850506530267","-591.850506530267","-591.850506530267"
"61","61","61","61","-468.8320789000193","-468.8320789000193","-468.8320789000193","61","61","61","-514.6508076870211","-514.6508076870211","-514.6508076870211"
"62","62","62","62","-533.2487733934857","-533.2487733934857","-533.2487733934857","62","62","62","-588.5523834880701","-588.5523834880701","-588.5523834880701"
"63","63","63","63","-500.21767819933285","-500.21767819933285","-500.21767819933285","63","63","63","-550.4557196238353","-550.4557196238353","-550.4557196238353"
"64","64","64","64","-561.0030803766537","-561.0030803766537","-561.0030803766537","64","64","64","-588.1182991275866","-588.1182991275866","-588.1182991275866"
"65","65","65","65","-573.042709686456","-573.042709686456","-573.042709686456","65","65","65","-566.6278330952473","-566.6278330952473","-566.6278330952473"
"66","66","66","66","-512.0561197670345","-512.0561197670345","-512.0561197670345","66","66","66","-526.6761644184977","-526.6761644184977","-526.6761644184977"
"67","67","67","67","-574.8410612706529","-574.8410612706529","-574.8410612706529","67","67","67","-448.3521274097769","-448.3521274097769","-448.3521274097769"
"68","68","68","68","-496.17661156288557","-496.17661156288557","-496.17661156288557","68","68","68","-417.18679667712365","-417.18679667712365","-417.18679667712365"
"69","69","69","69","-515.0060938062841","-515.0060938062841","-515.0060938062841","69","69","69","-394.3364780117025","-394.3364780117025","-394.3364780117025"
"70","70","70","70","-470.2943168919072","-470.2943168919072","-470.2943168919072","70","70","70","-490.1447104971124","-490.1447104971124","-490.1447104971124"
"71","71","71","71","-574.4806506564123","-574.4806506564123","-574.4806506564123","71","71","71","-367.94810018699866","-367.94810018699866","-367.94810018699866"
"72","72","72","72","-566.300904834902","-566.300904834902","-566.300904834902","72","72","72","-461.84092592931376","-461.84092592931376","-461.84092592931376"
"73","73","73","73","-493.21171118614456","-493.21171118614456","-493.21171118614456","73","73","73","-516.5813671624502","-516.5813671624502","-516.5813671624502"
"74","74","74","74","-552.4589974445676","-552.4589974445676","-552.4589974445676","74","74","74","-735.401243874876","-735.401243874876","-735.401243874876"
"75","75","75","75","-563.1072545672416","-563.1072545672416","-563.1072545672416","75","75","75","-601.8572541277905","-601.8572541277905","-601.8572541277905"
"76","76","76","76","-581.7557795458558","-581.7557795458558","-581.7557795458558","76","76","76","-585.7051684269079","-585.7051684269079","-585.7051684269079"
"77","77","77","77","-511.9237140876595","-511.9237140876595","-511.9237140876595","77","77","77","-611.6078999241445","-611.6078999241445","-611.6078999241445"
"78","78","78","78","-516.698767622538","-516.698767622538","-516.698767622538","78","78","78","-603.012812362176","-603.012812362176","-603.012812362176"
"79","79","79","79","-536.322852460439","-536.322852460439","-536.322852460439","79","79","79","-605.8748184748567","-605.8748184748567","-605.8748184748567"
"80","80","80","80","-490.1894964099599","-490.1894964099599","-490.1894964099599","80","80","80","-656.2887263040042","-656.2887263040042","-656.2887263040042"
"81","81","81","81","-489.33660888242065","-489.33660888242065","-489.33660888242065","81","81","81","-695.7710100541988","-695.7710100541988","-695.7710100541988"
"82","82","82","82","-444.27301697183685","-444.27301697183685","-444.27301697183685","82","82","82","-625.9737841458284","-625.9737841458284","-625.9737841458284"
"83","83","83","83","-521.9397436298383","-521.9397436298383","-521.9397436298383","83","83","83","-680.1480099570668","-680.1480099570668","-680.1480099570668"
"84","84","84","84","-473.6779397699117","-473.6779397699117","-473.6779397699117","84","84","84","-516.750183086988","-516.750183086988","-516.750183086988"
"85","85","85","85","-449.01196030055826","-449.01196030055826","-449.01196030055826","85","85","85","-747.656332456174","-747.656332456174","-747.656332456174"
"86","86","86","86","-360.40737547642186","-360.40737547642186","-360.40737547642186","86","86","86","-618.2445063242903","-618.2445063242903","-618.2445063242903"
"87","87","87","87","-467.78375726281337","-467.78375726281337","-467.78375726281337","87","87","87","-313.5635950642248","-313.5635950642248","-313.5635950642248"
"88","88","88","88","-477.61388043440894","-477.61388043440894","-477.61388043440894","88","88","88","-413.53874769950835","-413.53874769950835","-413.53874769950835"
"89","89","89","89","-498.08286414354825","-498.08286414354825","-498.08286414354825","89","89","89","-447.6255847443846","-447.6255847443846","-447.6255847443846"
"90","90","90","90","-485.53802289059274","-485.53802289059274","-485.53802289059274","90","90","90","-510.278357450671","-510.278357450671","-510.278357450671"
"91","91","91","91","-470.2477852239693","-470.2477852239693","-470.2477852239693","91","91","91","-183.34127856073042","-183.34127856073042","-183.34127856073042"
